,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Total.Souls
5,20170710X52551,Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,Non-Fatal,Substantial,Airplane,CF-TLU,McDonnell Douglas,DC9,No,2.0,Turbo Fan,Unknown,0.0,0.0,1.0,44.0,VMC,45.0
8,20020909X01561,Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,Non-Fatal,Substantial,Airplane,N7967Q,Cessna,401B,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,2.0
25,20020917X01905,Accident,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,Fatal(8),Destroyed,Airplane,N2620L,Cessna,414A,No,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,8.0
26,20020917X01720,Accident,ATL82FA033,1982-01-03,"PINEHURST, NC",United States,Fatal(1),Destroyed,Airplane,N10VS,Beechcraft,BE-58,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,1.0
33,20020917X02254,Accident,LAX82FA038,1982-01-04,"NEAR LAS VEGAS, NV",United States,Fatal(2),Destroyed,Airplane,N1956H,Piper,PA-34-200T,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,2.0
34,20020917X01880,Accident,CHI82FA019,1982-01-04,"FORT WAYNE, IN",United States,Fatal(2),Destroyed,Airplane,N2CU,Cessna,T337G,No,2.0,Reciprocating,Personal,2.0,2.0,0.0,0.0,IMC,4.0
39,20020917X01906,Accident,DCA82AA009,1982-01-05,"ITHACA, NY",United States,Fatal(2),Destroyed,Airplane,N546BA,Piper,PA-31,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,2.0
45,20020917X02423,Accident,MKC82DA016,1982-01-06,"ROLLA, MO",United States,Non-Fatal,Substantial,Airplane,N2672A,Cessna,340,Yes,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,3.0
53,20020917X02141,Accident,FTW82FRG20,1982-01-07,"LAREDO, TX",United States,Non-Fatal,Substantial,Airplane,N1698M,Curtis,C46,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,3.0
65,20020917X01994,Accident,FTW82DA038,1982-01-09,"TOMBALL, TX",United States,Non-Fatal,Substantial,Airplane,N55489,Piper,PA-34,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,3.0
68,20020917X02341,Accident,MIA82DA032,1982-01-10,"OKEECHOBEE, FL",United States,Non-Fatal,Destroyed,Airplane,N567V,Piper,PA-23-250,No,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,UNK,2.0
70,20020917X01882,Accident,CHI82FA025,1982-01-10,"WHEELING, IL",United States,Non-Fatal,Destroyed,Airplane,N6995Y,Piper,23-250,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,2.0
78,20020917X01715,Accident,ATL82DKJ09,1982-01-11,"AUBURN, AL",United States,Non-Fatal,Substantial,Airplane,N424VW,Cessna,310L,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1.0
80,20020917X01765,Incident,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,Incident,Minor,Airplane,N615KC,Embraer,EMB-110P1,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,2.0,VMC,2.0
81,20020917X01750,Accident,ATL82FKQ09,1982-01-12,"ABERDEEN, MS",United States,Non-Fatal,Destroyed,Airplane,N7706,Cessna,414,No,2.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,UNK,3.0
84,20020917X01907,Accident,DCA82AA011,1982-01-13,"WASHINGTON, DC",United States,Fatal(78),Destroyed,Other,N62AF,Boeing,737-222,No,2.0,Turbo Fan,Unknown,78.0,6.0,3.0,0.0,IMC,87.0
87,20020917X02575,Accident,SEA82DA017,1982-01-13,"SPOKANE, WA",United States,Non-Fatal,Substantial,Airplane,N36PB,Piper,PA-31-350,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,IMC,2.0
89,20020917X02486,Accident,NYC82DA022,1982-01-15,"BUTLER, PA",United States,Non-Fatal,Substantial,Other,N4875B,Cessna,310,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2.0
93,20020917X02538,Accident,NYC82FA021,1982-01-15,"JAMAICA, NY",United States,Non-Fatal,Substantial,Airplane,N341PL,Swearingen,SA 226-TC,No,2.0,Turbo Prop,Unknown,0.0,1.0,2.0,12.0,VMC,15.0
94,20020917X01780,Accident,CHI82DA027,1982-01-15,"ANOKA, MN",United States,Non-Fatal,Substantial,Airplane,N300JR,Beechcraft,C-45H,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,2.0
101,20020917X02159,Accident,LAX82DA042,1982-01-17,"HONOLULU, HI",United States,Non-Fatal,Destroyed,Airplane,N21DR,Convair,440,No,2.0,Reciprocating,Unknown,0.0,0.0,2.0,1.0,VMC,3.0
102,20020917X02142,Accident,FTW82FRG21,1982-01-17,"PORT MANSFIELD, TX",United States,Fatal(1),Destroyed,Airplane,N9181Y,Piper,PA-31,No,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,1.0
103,20020917X01967,Accident,DEN82FA020,1982-01-17,"DELTA, UT",United States,Non-Fatal,Destroyed,Airplane,N91TW,Piper,PA-31T,No,2.0,Turbo Prop,Personal,0.0,0.0,3.0,0.0,VMC,3.0
104,20020917X01721,Accident,ATL82FA035,1982-01-17,"PICAYUNE, MS",United States,Fatal(2),Destroyed,Airplane,N654T,Beechcraft,F50,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,2.0
119,20020917X01766,Incident,ATL82IA038,1982-01-19,"WASHINGTON, DC",United States,Incident,Minor,Airplane,N9240N,De Havilland,DHC-6-300,No,2.0,Turbo Prop,Ferry,0.0,0.0,0.0,1.0,IMC,1.0
120,20020917X02490,Accident,NYC82DA026,1982-01-19,"SOMERSET, PA",United States,Non-Fatal,Substantial,Airplane,N8043J,Piper,AEROSTAR 601P,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,2.0
127,20020917X01806,Accident,CHI82DA056,1982-01-19,"NEAR LANSING, MI",United States,Non-Fatal,Substantial,Airplane,N4140G,Cessna,340A,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,UNK,2.0
129,20020917X02397,Accident,MIA82FA034,1982-01-19,"MIAMI, FL",United States,Non-Fatal,Substantial,Airplane,HCBHS,Bombardier,CL-44D4,No,4.0,Turbo Prop,Unknown,0.0,0.0,0.0,6.0,VMC,6.0
131,20020917X02334,Incident,LAX82IA044,1982-01-20,"SAN JOSE, CA",United States,Incident,Minor,Airplane,N74HP,Piper,PA-31-350,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,2.0
132,20020917X02258,Accident,LAX82FA048,1982-01-20,"CHERRY VALLEY, CA",United States,Fatal(2),Destroyed,Airplane,N9395Q,Beechcraft,58,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,2.0
134,20020917X01751,Accident,ATL82FKQ10,1982-01-20,"MCCOMB, MS",United States,Fatal(1),Destroyed,Airplane,N6242Y,Piper,PA-23-250,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,1.0
139,20020917X02467,Accident,MKC82FA019,1982-01-21,"NORTH KANSAS CI, MO",United States,Fatal(1),Destroyed,Airplane,N4553Q,Cessna,402A,No,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,IMC,1.0
140,20020917X02399,Accident,MIA82FA037,1982-01-21,"15NM W. OPA LOC, FL",United States,Non-Fatal,Destroyed,Airplane,N211TA,McDonnell Douglas,DC-3,No,2.0,Reciprocating,Unknown,0.0,0.0,2.0,0.0,VMC,2.0
141,20020917X02295,Accident,LAX82FUJ25,1982-01-21,"BAGDAD, AZ",United States,Non-Fatal,Destroyed,Airplane,N40291,Piper,PA-23-250,No,2.0,Reciprocating,Executive/corporate,0.0,1.0,2.0,0.0,IMC,3.0
155,20020917X01909,Accident,DCA82AA013,1982-01-23,"BOSTON, MA",United States,Fatal(2),Destroyed,Airplane,N113WA,McDonnell Douglas,DC-10-30,No,3.0,Turbo Fan,Unknown,2.0,4.0,24.0,182.0,IMC,212.0
165,20020917X01990,Accident,FTW82AA046,1982-01-24,"LAREDO, TX",United States,Fatal(7),Destroyed,Airplane,N4244Z,Robertson,C-402B,No,2.0,Reciprocating,Personal,7.0,0.0,0.0,0.0,VMC,7.0
214,20020917X02480,Accident,NYC82AA028,1982-02-01,"GROTON, CT",United States,Non-Fatal,Destroyed,Airplane,N451C,Beechcraft,99,No,2.0,Turbo Prop,Unknown,0.0,5.0,2.0,0.0,IMC,7.0
221,20020917X01784,Accident,CHI82DA033,1982-02-01,"ANDERSON, IN",United States,Non-Fatal,Substantial,Airplane,N5400G,Grumman,1159,No,2.0,Turbo Jet,Executive/corporate,0.0,0.0,0.0,4.0,VMC,4.0
223,20020917X02539,Accident,NYC82FA029,1982-02-02,"NEWBURGH, NY",United States,Fatal(1),Destroyed,Airplane,N62481,Piper,PA-23-250,No,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,IMC,1.0
229,20020917X01923,Accident,DEN82DA029,1982-02-03,"HAYDEN, CO",United States,Non-Fatal,Destroyed,Airplane,N149JA,Mitsubishi,MU2B-40,No,2.0,Turbo Prop,Business,0.0,0.0,6.0,0.0,IMC,6.0
230,20020917X01910,Accident,DCA82AA014,1982-02-03,"PHILADELPHIA, PA",United States,Non-Fatal,Minor,Airplane,N1814U,Mcdonnell-Douglas,DC-10-10,No,3.0,Turbo Fan,Unknown,0.0,1.0,0.0,154.0,IMC,155.0
234,20020917X02555,Accident,NYC82FHD06,1982-02-03,"TOMS RIVER, NJ",United States,Non-Fatal,Substantial,Airplane,N9759Q,Ted Smith,AEROSTAR 600,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,IMC,1.0
243,20020917X02415,Accident,MIA82FLD15,1982-02-06,"FT. PIERCE, FL",United States,Non-Fatal,Destroyed,Airplane,N747CE,Piper,PA-31,No,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,IMC,2.0
251,20020917X01788,Accident,CHI82DA037,1982-02-06,"BROWNSBURG, IN",United States,Non-Fatal,Substantial,Airplane,N93607,Ercoupe,415-C,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2.0
280,20020917X02174,Accident,LAX82DA066,1982-02-09,"CARLSBAD, CA",United States,Non-Fatal,Substantial,Airplane,N69DH,Cessna,310R,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,2.0
282,20020917X01743,Accident,ATL82FID06,1982-02-09,"NEWPORT NEWS, VA",United States,Non-Fatal,Substantial,Airplane,N5218J,Cessna,402B,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,IMC,1.0
284,20020917X02416,Accident,MIA82FLD16,1982-02-10,"LAKE WALES, FL",United States,Non-Fatal,Destroyed,Airplane,N5207J,Cessna,310,No,2.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,2.0
285,20020917X02262,Accident,LAX82FA069,1982-02-10,"TWENTYNINE PALM, CA",United States,Fatal(2),Destroyed,Airplane,N200WJ,Beechcraft,95-C55,No,2.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC,2.0
287,20020917X01924,Accident,DEN82DA030,1982-02-10,"SPANISH FORK, UT",United States,Non-Fatal,Substantial,Airplane,N5439J,Cessna,421B,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,2.0
288,20020917X01725,Accident,ATL82FA052,1982-02-10,"JESSUP, GA",United States,Non-Fatal,Substantial,Airplane,N8299F,Cessna,401,No,2.0,Reciprocating,Business,0.0,0.0,0.0,5.0,VMC,5.0
290,20020917X02403,Accident,MIA82FA045,1982-02-11,"MIAMI, FL",United States,Fatal(2),Destroyed,Airplane,N24CC,Cessna,421,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,IMC,2.0
296,20020917X02345,Accident,MIA82DA046,1982-02-12,"FT. LAUDERDALE, FL",United States,Non-Fatal,Substantial,Airplane,N1515V,Howard Aircraft Corp.,500,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,4.0
299,20020917X02267,Accident,LAX82FA074,1982-02-13,"NEAR SONOMA, CA",United States,Fatal(1),Destroyed,Airplane,N8455Y,Piper,PA-34,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,1.0
320,20020917X02336,Incident,LAX82IA075,1982-02-15,"ONTARIO, CA",United States,Incident,Minor,Airplane,N73717,Boeing,B737-2H4,No,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,119.0,IMC,119.0
321,20020917X02012,Accident,FTW82DA059,1982-02-15,"FARMERVILLE, LA",United States,Non-Fatal,Destroyed,Airplane,N6822T,Cessna,310D,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,2.0
322,20020917X01884,Accident,CHI82FA048,1982-02-15,"CORYDON, IN",United States,Fatal(1),Destroyed,Airplane,N1108P,Piper,PA-23,No,2.0,Reciprocating,Ferry,1.0,0.0,0.0,0.0,VMC,1.0
332,20020917X01800,Accident,CHI82DA050,1982-02-15,"EAST SAINT LOUI, IL",United States,Non-Fatal,Substantial,Airplane,N7511L,Piper,PA-31-310,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,2.0
334,20020917X01727,Accident,ATL82FA055,1982-02-16,"SPRINGFIELD, KY",United States,Fatal(8),Destroyed,Airplane,N2517X,Piper,PA-31T2,No,2.0,Turbo Prop,Business,8.0,0.0,0.0,0.0,IMC,8.0
335,20020917X01807,Accident,CHI82DA057,1982-02-16,"COLUMBUS, OH",United States,Non-Fatal,Substantial,Airplane,N3DS,Beechcraft,90,No,2.0,Turbo Prop,Personal,0.0,0.0,0.0,4.0,IMC,4.0
336,20020917X01911,Accident,DCA82AA015,1982-02-16,"KING SALMON, AK",United States,Non-Fatal,Substantial,Airplane,N169RV,Nihon,YS-11A,No,2.0,Turbo Prop,Unknown,0.0,0.0,3.0,36.0,VMC,39.0
344,20020917X02404,Accident,MIA82FA051,1982-02-17,"MIAMI, FL",United States,Non-Fatal,Substantial,Other,N4734,Boeing,727-235,No,3.0,Turbo Fan,Unknown,0.0,1.0,1.0,51.0,VMC,53.0
345,20020917X01968,Accident,DEN82FA034,1982-02-17,"MITCHELL, SD",United States,Non-Fatal,Substantial,Airplane,N5799Y,Piper,PA-23,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,6.0,IMC,6.0
346,20020917X02630,Incident,SEA82IA029,1982-02-18,"BOISE, ID",United States,Incident,Minor,Airplane,N101RA,Embraer,EMB-11OP1,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,16.0,VMC,16.0
352,20020917X02500,Accident,NYC82DA039,1982-02-19,"MOUNT POCONO, PA",United States,Non-Fatal,Substantial,Airplane,N8226A,Piper,PA-44-180T,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,IMC,3.0
358,20020917X01808,Accident,CHI82DA058,1982-02-19,"ST. CHARLES, IL",United States,Non-Fatal,Substantial,Airplane,N1847X,Beechcraft,58,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,1.0
361,20020917X01885,Accident,CHI82FA059,1982-02-19,"OSHKOSH, WI",United States,Non-Fatal,Substantial,Airplane,N6761H,Cessna,404,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,7.0,IMC,7.0
371,20020917X01811,Accident,CHI82DA062,1982-02-20,"HUNTINGTON, IN",United States,Non-Fatal,Substantial,Airplane,N291T,Beechcraft,56TC,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1.0
373,20020917X01629,Accident,ANC82DA020,1982-02-20,"N CAPE YAKATAGA, AK",United States,Non-Fatal,Substantial,Airplane,N2845D,Grumman,G-21A,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2.0
377,20020917X01912,Accident,DCA82AA016,1982-02-21,"PROVIDENCE, RI",United States,Fatal(1),Destroyed,Airplane,N127PM,De Havilland,DHC-6,No,2.0,Turbo Prop,Unknown,1.0,10.0,1.0,0.0,VMC,12.0
386,20020917X01813,Accident,CHI82DA064,1982-02-21,"BLOOMINGTON, IN",United States,Non-Fatal,Substantial,Airplane,N378NE,Fairchild Hiller,227C,No,2.0,Turbo Prop,Ferry,0.0,0.0,0.0,4.0,VMC,4.0
390,20020917X02509,Accident,NYC82DA049,1982-02-22,"WESTERLY, RI",United States,Non-Fatal,Substantial,Airplane,N5358J,Cessna,421C,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,6.0,VMC,6.0
396,20020917X01817,Accident,CHI82DA068,1982-02-22,"CLEVELAND, OH",United States,Non-Fatal,Substantial,Airplane,N8035J,Piper,PA-60,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,1.0
399,20020917X02446,Accident,MKC82DA041,1982-02-23,"CARROLL, IA",United States,Non-Fatal,Substantial,Airplane,N363VA,Piper,PA-60/601P,No,2.0,Reciprocating,Business,0.0,0.0,0.0,3.0,IMC,3.0
404,20020917X02272,Accident,LAX82FA085,1982-02-24,"HURON, CA",United States,Fatal(1),Destroyed,Airplane,N491A,Beechcraft,BE-95-C55,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,1.0
409,20020917X02501,Accident,NYC82DA040,1982-02-24,"DOYLESTOWN, PA",United States,Non-Fatal,Substantial,Airplane,N1EJ,Cessna,310Q,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2.0
410,20020917X01820,Accident,CHI82DA071,1982-02-24,"BRYAN, OH",United States,Non-Fatal,Substantial,Airplane,N7812Q,Cessna,414,No,2.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,1.0
414,20020917X02030,Accident,FTW82DA080,1982-02-25,"EUNICE, LA",United States,Non-Fatal,Substantial,Airplane,N100CA,Cessna,421B,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,3.0
416,20020917X02145,Accident,FTW82FRG25,1982-02-25,"DEL RIO, TX",United States,Non-Fatal,Substantial,Airplane,XAIJI,Piper,PA-23,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,5.0,VMC,5.0
417,20020917X02112,Accident,FTW82FPA11,1982-02-25,"DALLAS, TX",United States,Non-Fatal,Substantial,Airplane,N8517Z,Beechcraft,D18S,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,IMC,1.0
419,20020917X01770,Incident,ATL82IA060,1982-02-26,"ATLANTA, GA",United States,Incident,Minor,Airplane,N10AY,Beechcraft,B90,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,3.0,IMC,3.0
431,20020917X02323,Accident,LAX82FVG18,1982-02-27,"SACRAMENTO, CA",United States,Non-Fatal,Substantial,Airplane,N14MC,Cessna,320C,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,3.0
474,20020917X02359,Accident,MIA82DA063,1982-03-04,"KEY WEST, FL",United States,Non-Fatal,Substantial,Airplane,N6958L,Cessna,310K,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,1.0
476,20020917X01826,Accident,CHI82DA078,1982-03-04,"VALPARAISO, IN",United States,Non-Fatal,Substantial,Airplane,N34EE,Piper,PA-30,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,2.0
477,20020917X01825,Accident,CHI82DA077,1982-03-04,"ELYRIA, OH",United States,Non-Fatal,Substantial,Airplane,N9530Q,Smith Aerostar,600,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,1.0
480,20020917X02185,Accident,LAX82DA093,1982-03-05,"MESA, AZ",United States,Non-Fatal,Substantial,Airplane,N5KH,Cessna,P337H,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2.0
481,20020917X02033,Accident,FTW82DA083,1982-03-05,"HOT SPRINGS, AR",United States,Non-Fatal,Substantial,Airplane,N18320,Beechcraft,B58,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1.0
485,20020917X02405,Accident,MIA82FA064,1982-03-06,"SUMMERLAND, FL",United States,Non-Fatal,Destroyed,Airplane,N1145P,Piper,PA-23,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1.0
493,20020917X01836,Accident,CHI82DA089,1982-03-06,"FREEMONT, MI",United States,Non-Fatal,Substantial,Airplane,N7661Q,Cessna,310,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2.0
513,20020917X02144,Accident,FTW82FRG24,1982-03-08,"CHARLOTTE, TX",United States,Non-Fatal,Substantial,Airplane,N700W,Beechcraft,E18S,No,2.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,UNK,1.0
514,20020917X01829,Accident,CHI82DA081,1982-03-08,"GRAND MARAIS, MN",United States,Non-Fatal,Substantial,Airplane,N6625Y,Piper,PA-23 250,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,3.0
515,20020917X01899,Incident,CHI82IA082,1982-03-09,"SOUTH BEND, IN",United States,Incident,Minor,Airplane,N323BA,Swearingen,SA-266TC,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,9.0,UNK,9.0
532,20020917X02572,Incident,NYC82IA051,1982-03-11,"FLUSHING, NY",United States,Incident,Minor,Airplane,N26210,Nord Aviation,262A-12,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,30.0,IMC,30.0
533,20020917X02541,Accident,NYC82FA050,1982-03-11,"BLOOMFIELD, CT",United States,Fatal(1),Destroyed,Airplane,N7721X,Cessna,T337C,Yes,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,1.0
536,20020917X02361,Accident,MIA82DA067,1982-03-11,"TALLAHASSEE, FL",United States,Non-Fatal,Substantial,Airplane,N71MH,Beechcraft,95-B55,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1.0
543,20020917X02512,Accident,NYC82DA055,1982-03-12,"ATLANTIC CITY, NJ",United States,Non-Fatal,Substantial,Airplane,N1519T,Piper,PA-34-200,No,2.0,Reciprocating,Business,0.0,0.0,0.0,3.0,IMC,3.0
545,20020917X02362,Accident,MIA82DA070,1982-03-12,"CRESCENT CITY, FL",United States,Non-Fatal,Substantial,Airplane,N7433Y,Piper,PA-30,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,4.0
547,20020917X02196,Accident,LAX82DA105,1982-03-12,"CHINO, CA",United States,Non-Fatal,Substantial,Airplane,N479CC,Cessna,501,No,2.0,Turbo Jet,Business,0.0,0.0,0.0,2.0,VMC,2.0
568,20020917X01833,Accident,CHI82DA086,1982-03-13,"BRYAN, OH",United States,Non-Fatal,Substantial,Airplane,N707MA,Beechcraft,200,No,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,4.0,VMC,4.0
569,20020917X01831,Accident,CHI82DA084,1982-03-13,"CAMBRIDGE, MN",United States,Non-Fatal,Substantial,Airplane,N9697J,Piper,PA-28,No,2.0,Reciprocating,Personal,0.0,1.0,2.0,1.0,VMC,4.0
574,20020917X02042,Accident,FTW82DA093,1982-03-14,"MCALLEN, TX",United States,Fatal(1),Destroyed,Airplane,N9846Z,Beechcraft,C-45H,No,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,1.0
585,20020917X01935,Accident,DEN82DA044,1982-03-15,"GUNNISON, CO",United States,Non-Fatal,Substantial,Airplane,N12JP,Piper,PA-31P,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,4.0
588,20020917X02301,Accident,LAX82FUJ32,1982-03-16,"TUCSON, AZ",United States,Fatal(1),Destroyed,Airplane,N184VB,Beechcraft,58,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,1.0
589,20020917X02274,Accident,LAX82FA109,1982-03-16,"12 N.E. BURBANK, CA",United States,Fatal(3),Destroyed,Airplane,N98546,Cessna,340A,No,2.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,3.0
591,20020917X02593,Accident,SEA82DA038,1982-03-16,"IDAHO FALLS, ID",United States,Non-Fatal,Substantial,Airplane,N340RA,Cessna,340,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,1.0
607,20020917X02276,Accident,LAX82FA111,1982-03-18,"SUNFLOWER, AZ",United States,Fatal(5),Destroyed,Airplane,N499W,Cessna,401,No,2.0,Reciprocating,Unknown,5.0,2.0,0.0,0.0,IMC,7.0
609,20020917X01886,Accident,CHI82FA091,1982-03-18,"RICHMOND, IN",United States,Fatal(1),Destroyed,Airplane,N33KC,Cessna,421,No,2.0,Reciprocating,Business,1.0,2.0,0.0,0.0,IMC,3.0
619,20020917X02046,Accident,FTW82DA098,1982-03-19,"WEATHERFORD, OK",United States,Non-Fatal,Substantial,Airplane,N68655,Cessna,421C,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,1.0,VMC,1.0
623,20020917X02153,Incident,FTW82IA146,1982-03-20,"HOUSTON, TX",United States,Incident,Minor,Airplane,N87Y,Rockwell,NA-265-80,No,2.0,Turbo Jet,Executive/corporate,0.0,0.0,0.0,2.0,IMC,2.0
655,20020917X01887,Accident,CHI82FA096,1982-03-23,"JACKSON, MI",United States,Non-Fatal,Destroyed,Airplane,N37174,Cessna,414,No,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,VMC,2.0
661,20020917X02057,Accident,FTW82DA114,1982-03-23,"CONROE, TX",United States,Non-Fatal,Substantial,Airplane,N9101F,Rockwell,690A,No,2.0,Turbo Prop,Business,0.0,0.0,0.0,3.0,IMC,3.0
663,20020917X01888,Accident,CHI82FA098,1982-03-23,"KALAMAZOO, MI",United States,Non-Fatal,Substantial,Airplane,N6069C,Beechcraft,65-A90,No,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,2.0,VMC,2.0
668,20020917X02370,Accident,MIA82DA083,1982-03-24,"PLACIDA, FL",United States,Non-Fatal,Substantial,Airplane,N8043Y,Piper,PA-30,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,1.0
669,20020917X02279,Accident,LAX82FA119,1982-03-24,"MARANA, AZ",United States,Non-Fatal,Substantial,Airplane,N752TA,Boeing,707-123B,No,4.0,Turbo Jet,Ferry,0.0,0.0,0.0,7.0,VMC,7.0
677,20020917X01900,Incident,CHI82IA102,1982-03-25,"KALAMAZO, MI",United States,Incident,Minor,Airplane,N20HR,Beechcraft,65-88,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,2.0
685,20020917X01690,Accident,ATL82DA084,1982-03-25,"RIDGELAND, SC",United States,Non-Fatal,Substantial,Airplane,N3707N,Beechcraft,58,No,2.0,Reciprocating,Personal,0.0,0.0,1.0,3.0,VMC,4.0
687,20020917X02100,Accident,FTW82FA103,1982-03-26,"MAGDALENA, NM",United States,Fatal(6),Destroyed,Airplane,N36969,Beechcraft,58,No,2.0,Reciprocating,Personal,6.0,0.0,0.0,0.0,VMC,6.0
693,20020917X02206,Accident,LAX82DA122,1982-03-26,"YUBA CITY, CA",United States,Non-Fatal,Substantial,Airplane,N69646,Cessna,310Q,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,3.0
