,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Total.Souls
6168,20001214X44615,Accident,MIA83FA224,1983-09-05,"TAMPA, FL",United States,Non-Fatal,Substantial,Other,N29PB,Cessna,402C,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,9.0,VMC,9.0
6178,20001214X44459,Incident,CHI83IA418,1983-09-07,"CHICAGO, IL",United States,Incident,Minor,Other,N1984,Boeing,727-200,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,116.0,VMC,116.0
6186,20001214X44587,Accident,LAX83LA427,1983-09-08,"KAILUA-KONA, HI",United States,Non-Fatal,Destroyed,Other,N2990F,Beechcraft,H18S,No,2.0,Reciprocating,Unknown,0.0,1.0,9.0,0.0,VMC,10.0
6196,20001214X44515,Accident,DEN83LA219,1983-09-08,"MANDAN, ND",United States,Non-Fatal,Substantial,Other,N320RD,Cessna,320B,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1.0
6210,20001214X44684,Accident,NYC83LA240,1983-09-10,"LEBANON, NH",United States,Non-Fatal,Destroyed,Other,N64200,Beechcraft,58P,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2.0
6212,20001214X44617,Accident,MIA83FA226,1983-09-10,"FT. LAUDERDALE, FL",United States,Non-Fatal,Destroyed,Other,N256EL,Cessna,C-114A,No,2.0,Reciprocating,Personal,0.0,2.0,3.0,0.0,VMC,5.0
6229,20001214X44511,Accident,DEN83LA212,1983-09-10,"BURLINGTON, CO",United States,Non-Fatal,Substantial,Other,N400AM,Beechcraft,B90,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,3.0,VMC,3.0
6233,20001214X44523,Accident,FTW83FA424,1983-09-11,"PLAINVIEW, TX",United States,Fatal(1),Destroyed,Other,N29561,Partenavia,P68C,No,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,1.0
6241,20001214X44477,Accident,CHI83LA424,1983-09-11,"WHEELING, IL",United States,Non-Fatal,Substantial,Other,N62971,Piper,PA-31-350,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,1.0
6242,20001214X44434,Accident,ATL83LA368,1983-09-11,"BIRMINGHAM, AL",United States,Non-Fatal,Substantial,Other,N3199L,Cessna,310J,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,4.0
6254,20001214X44460,Incident,CHI83IA425,1983-09-13,"CHICAGO, IL",United States,Incident,Minor,Other,N377NE,Fairchild,FH-227,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,25.0,VMC,25.0
